PeakID (cmd=annotatePeaks.pl results/overlaps/bcor_kdm2b_overlap_without_h3k27me3.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_KDM2B_common_region-3364	chr2	10870098	10870321	+	.	NA	intron (NM_001282707, intron 1 of 13)	NA	153	NM_005742	10130		NM_005742	ENSG00000143870	PDIA6	ERP5|P5|TXNDC7	protein disulfide isomerase family A member 6	protein-coding
BCOR_KDM2B_common_region-256	chr1	45578119	45578408	+	.	NA	promoter-TSS (NM_001293195)	NA	-34	NM_001048174	4595		NM_012222	ENSG00000132781	MUTYH	MYH	mutY DNA glycosylase	protein-coding
BCOR_KDM2B_common_region-3673	chr2	134885860	134886016	+	.	NA	intron (NM_002410, intron 11 of 15)	NA	157825	NM_002410	4249		NM_002410	ENSG00000152127	MGAT5	GNT-V|GNT-VA|MGAT5A|glcNAc-T V	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein-coding
BCOR_KDM2B_common_region-6684	chrX	134306366	134306417	+	.	NA	promoter-TSS (NM_007131)	NA	4	NM_152695	203523		NM_152695	ENSG00000173275	ZNF449	ZSCAN19	zinc finger protein 449	protein-coding
BCOR_KDM2B_common_region-2989	chr18	12647910	12648019	+	.	NA	promoter-TSS (NM_147163)	NA	142	NM_001128626	56907		NM_020148	ENSG00000134278	SPIRE1	Spir-1	spire type actin nucleation factor 1	protein-coding
BCOR_KDM2B_common_region-2367	chr16	9093034	9093146	+	.	NA	promoter-TSS (NM_014117)	NA	88	NM_014117	29035		NM_014117	ENSG00000182831	HAPSTR1	C16orf72|PRO0149|TAPR1	HUWE1 associated protein modifying stress responses	protein-coding
BCOR_KDM2B_common_region-974	chr11	766683	766821	+	.	NA	promoter-TSS (NR_126343)	NA	735	NR_134868	347862		NM_182612	ENSG00000177225	GATD1	FERRY5|Fy-5|PDDC1	glutamine amidotransferase class 1 domain containing 1	protein-coding
BCOR_KDM2B_common_region-6403	chr9	98456710	98457175	+	.	NA	intron (NM_153698, intron 1 of 5)	NA	478	NM_153698	195827		NM_153698	ENSG00000158122	PRXL2C	AAED1|C9orf21	peroxiredoxin like 2C	protein-coding
BCOR_KDM2B_common_region-552	chr1	202647182	202647300	+	.	NA	5' UTR (NM_032833, exon 1 of 2)	NA	327	NM_032833	84919		NM_032833	ENSG00000158615	PPP1R15B	CREP|MSSGM2	protein phosphatase 1 regulatory subunit 15B	protein-coding
BCOR_KDM2B_common_region-4136	chr21	45184548	45184869	+	.	NA	promoter-TSS (NR_027129)	NA	336	NM_058190	85395		NM_058190	ENSG00000160256	SLX9	C21orf70|FAM207A|PRED56	SLX9 ribosome biogenesis factor	protein-coding
BCOR_KDM2B_common_region-338	chr1	89762416	89762564	+	.	NA	promoter-TSS (NM_001134476)	NA	-486	NM_001369819	23507		NM_015350	ENSG00000197147	LRRC8B	TA-LRRP|TALRRP	leucine rich repeat containing 8 VRAC subunit B	protein-coding
BCOR_KDM2B_common_region-4469	chr3	108442051	108442385	+	.	NA	promoter-TSS (NR_028301)	NA	-11	NR_028301	344595		NR_028301	ENSG00000243701	DUBR	DUM|LINC00883|LINC0883	DPPA2 upstream binding RNA	ncRNA
BCOR_KDM2B_common_region-5571	chr6	109810101	109810418	+	.	NA	promoter-TSS (NM_001346500)	NA	104	NM_006016	8763		NM_006016	ENSG00000135535	CD164	DFNA66|MGC-24|MGC-24v|MUC-24|endolyn	CD164 molecule	protein-coding
BCOR_KDM2B_common_region-1915	chr14	67803457	67803715	+	.	NA	intron (NM_001321819, intron 7 of 10)	NA	361671	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
BCOR_KDM2B_common_region-3695	chr2	149725897	149725960	+	.	NA	intron (NM_001317002, intron 4 of 7)	NA	42994	NM_001317002	130576		NM_177964	ENSG00000150556	LYPD6B	CT116|LYPD7	LY6/PLAUR domain containing 6B	protein-coding
BCOR_KDM2B_common_region-5356	chr6	26134622	26134752	+	.	NA	TTS (NM_003544)	NA	803	NM_003544	8366		NM_003544	ENSG00000278705	H4C2	H4-16|H4/I|H4C1|H4C11|H4C12|H4C13|H4C14|H4C15|H4C16|H4C3|H4C4|H4C5|H4C6|H4C8|H4C9|H4FI|HIST1H4B	H4 clustered histone 2	protein-coding
BCOR_KDM2B_common_region-2473	chr16	57106863	57107080	+	.	NA	promoter-TSS (NM_024860)	NA	49	NM_001160305	79918		NM_024860	ENSG00000103037	SETD6	-	SET domain containing 6, protein lysine methyltransferase	protein-coding
BCOR_KDM2B_common_region-1824	chr14	23755020	23755202	+	.	NA	promoter-TSS (NM_138476)	NA	1	NM_138476	145553		NM_138476	ENSG00000213920	MDP1	FN6PASE|MDP-1	magnesium dependent phosphatase 1	protein-coding
BCOR_KDM2B_common_region-1376	chr12	45896497	45896614	+	.	NA	promoter-TSS (NR_026544)	NA	-62	NR_026544	100233209		NR_026544	ENSG00000247774	PCED1B-AS1	-	PCED1B antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-2777	chr17	34811264	34811882	+	.	NA	promoter-TSS (NM_001184906)	NA	-168	NM_001184906	84961		NM_032875	ENSG00000108306	FBXL20	Fbl2|Fbl20	F-box and leucine rich repeat protein 20	protein-coding
BCOR_KDM2B_common_region-5100	chr5	131160436	131160703	+	.	NA	promoter-TSS (NM_001008738)	NA	40	NM_001346113	96459		NM_133372	ENSG00000217128	FNIP1	IMD93	folliculin interacting protein 1	protein-coding
BCOR_KDM2B_common_region-4	chr1	885792	885947	+	.	NA	promoter-TSS (NM_198317)	NA	42	NM_198317	339451		NM_198317	ENSG00000187961	KLHL17	AF	kelch like family member 17	protein-coding
BCOR_KDM2B_common_region-344	chr1	93070584	93070615	+	.	NA	TTS (NM_001252273)	NA	414	NM_000969	6125		NM_000969	ENSG00000122406	RPL5	L5|MSTP030|PPP1R135|uL18	ribosomal protein L5	protein-coding
BCOR_KDM2B_common_region-4713	chr4	39869004	39869082	+	.	NA	promoter-TSS (NM_001278368)	NA	-52	NM_001278368	399		NM_004310	ENSG00000168421	RHOH	ARHH|TTF	ras homolog family member H	protein-coding
BCOR_KDM2B_common_region-3455	chr2	47022155	47022610	+	.	NA	5' UTR (NM_001171511, exon 1 of 3)	NA	116	NM_001171511	90411		NM_139279	ENSG00000180398	MCFD2	F5F8D|F5F8D2|LMAN1IP|SDNSF	multiple coagulation factor deficiency 2, ER cargo receptor complex subunit	protein-coding
BCOR_KDM2B_common_region-1220	chr11	69960873	69961287	+	.	NA	TTS (NM_005231)	NA	38797	NM_001184740	2017		NM_005231	ENSG00000085733	CTTN	EMS1	cortactin	protein-coding
BCOR_KDM2B_common_region-5441	chr6	41809696	41810214	+	.	NA	promoter-TSS (NR_162107)	NA	162	NM_001271945	7942		NM_007162	ENSG00000112561	TFEB	ALPHATFEB|BHLHE35|TCFEB	transcription factor EB	protein-coding
BCOR_KDM2B_common_region-2561	chr16	85161986	85162133	+	.	NA	Intergenic	NA	-3191	NR_125795	103752587		NR_125795		FOXC2-AS1	ODRUL	FOXC2 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-3778	chr2	201644435	201644590	+	.	NA	promoter-TSS (NM_002491)	NA	127	NM_001321625	285172		NM_173822	ENSG00000155744	HYCC2	FAM126B	hyccin PI4KA lipid kinase complex subunit 2	protein-coding
BCOR_KDM2B_common_region-6129	chr8	74083975	74084174	+	.	NA	intron (NM_017489, intron 1 of 9)	NA	421	NM_003218	7013		NM_003218	ENSG00000147601	TERF1	PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1	telomeric repeat binding factor 1	protein-coding
BCOR_KDM2B_common_region-5754	chr7	6453597	6454123	+	.	NA	intron (NM_139179, intron 1 of 14)	NA	250	NM_139179	221955		NM_139179	ENSG00000164535	DAGLB	DAGLBETA|KCCR13L	diacylglycerol lipase beta	protein-coding
BCOR_KDM2B_common_region-1024	chr11	9642291	9642690	+	.	NA	intron (NM_001297714, intron 1 of 10)	NA	290	NM_001297714	23075		NM_015055	ENSG00000133789	SWAP70	HSPC321|SWAP-70	switching B cell complex subunit SWAP70	protein-coding
BCOR_KDM2B_common_region-3709	chr2	170138168	170138763	+	.	NA	non-coding (NR_104020, exon 1 of 14)	NA	156	NM_024622	79675		NM_024622	ENSG00000138399	FASTKD1	-	FAST kinase domains 1	protein-coding
BCOR_KDM2B_common_region-4134	chr21	45176987	45177297	+	.	NA	TTS (NR_027128)	NA	-3984	NM_001127491	3689		NM_000211	ENSG00000160255	ITGB2	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	integrin subunit beta 2	protein-coding
BCOR_KDM2B_common_region-5163	chr5	140680392	140680508	+	.	NA	promoter-TSS (NM_005642)	NA	85	NM_005642	6879		NM_005642	ENSG00000178913	TAF7	TAF2F|TAFII55	TATA-box binding protein associated factor 7	protein-coding
BCOR_KDM2B_common_region-2838	chr17	46585669	46585693	+	.	NA	promoter-TSS (NM_000269)	NA	-238	NR_037149	654364		NM_001018136	ENSG00000011052	NME1-NME2	NM23-LV|NMELV	NME1-NME2 readthrough	protein-coding
BCOR_KDM2B_common_region-6466	chr9	123895304	123895431	+	.	NA	promoter-TSS (NM_001139442)	NA	41	NM_001139442	158135		NM_194252	ENSG00000175764	TTLL11	C9orf148|C9orf20|TTLL11-IT1|bA244O19.1	tubulin tyrosine ligase like 11	protein-coding
BCOR_KDM2B_common_region-1489	chr12	93180397	93180548	+	.	NA	promoter-TSS (NR_037687)	NA	-54	NR_037687	10154		NM_005761	ENSG00000136040	PLXNC1	CD232|PLXN-C1|VESPR	plexin C1	protein-coding
BCOR_KDM2B_common_region-6108	chr8	61842181	61842344	+	.	NA	intron (NM_017780, intron 2 of 37)	NA	25890	NM_001316690	55636		NM_017780	ENSG00000171316	CHD7	CRG|HH5|IS3|KAL5	chromodomain helicase DNA binding protein 7	protein-coding
BCOR_KDM2B_common_region-3780	chr2	201831260	201831761	+	.	NA	intron (NM_001080125, intron 1 of 8)	NA	507	NR_111983	841		NM_001228	ENSG00000064012	CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	caspase 8	protein-coding
BCOR_KDM2B_common_region-3319	chr19	61283953	61284157	+	.	NA	Intergenic	NA	14193	NR_110741	101928886		NR_110741	ENSG00000267522	LINC01864	-	long intergenic non-protein coding RNA 1864	ncRNA
BCOR_KDM2B_common_region-707	chr10	13243545	13243785	+	.	NA	intron (NM_182751, intron 1 of 19)	NA	101	NM_182751	55388		NM_018518	ENSG00000065328	MCM10	CNA43|DNA43|IMD80|PRO2249	minichromosome maintenance 10 replication initiation factor	protein-coding
BCOR_KDM2B_common_region-2463	chr16	55321584	55321691	+	.	NA	promoter-TSS (NM_014669)	NA	95	NM_014669	9688		NM_014669	ENSG00000102900	NUP93	NIC96	nucleoporin 93	protein-coding
BCOR_KDM2B_common_region-4331	chr3	41215776	41216269	+	.	NA	promoter-TSS (NM_001330729)	NA	22	NM_001904	1499		NM_001904	ENSG00000168036	CTNNB1	CTNNB|EVR7|MRD19|NEDSDV|armadillo	catenin beta 1	protein-coding
BCOR_KDM2B_common_region-3765	chr2	198073165	198073281	+	.	NA	promoter-TSS (NM_001202485)	NA	20	NM_199440	3329		NM_002156	ENSG00000144381	HSPD1	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13	heat shock protein family D (Hsp60) member 1	protein-coding
BCOR_KDM2B_common_region-5916	chr7	100021438	100021755	+	.	NA	promoter-TSS (NM_002319)	NA	92	NM_002319	4034		NM_002319	ENSG00000077454	LRCH4	LRN|LRRN1|LRRN4|PP14183	leucine rich repeats and calponin homology domain containing 4	protein-coding
BCOR_KDM2B_common_region-1177	chr11	65443302	65443943	+	.	NA	promoter-TSS (NM_031450)	NA	149	NM_006442	10589		NM_006442	ENSG00000175550	DRAP1	NC2-alpha	DR1 associated protein 1	protein-coding
BCOR_KDM2B_common_region-4804	chr4	100068326	100069258	+	.	NA	intron (NM_001331017, intron 1 of 7)	NA	515	NM_001130678	1977		NM_001968	ENSG00000151247	EIF4E	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F|eIF-4E	eukaryotic translation initiation factor 4E	protein-coding
BCOR_KDM2B_common_region-6397	chr9	97313403	97313773	+	.	NA	intron (NM_001083603, intron 1 of 23)	NA	-2219	NM_001354918	5727		NM_000264	ENSG00000185920	PTCH1	BCNS|BCNS1|NBCCS|PTC|PTC1|PTCH	patched 1	protein-coding
BCOR_KDM2B_common_region-3221	chr19	17253464	17254047	+	.	NA	promoter-TSS (NM_001278444)	NA	45	NM_152363	126549		NM_152363	ENSG00000160117	ANKLE1	ANKRD41|LEM3|LEMD6	ankyrin repeat and LEM domain containing 1	protein-coding
BCOR_KDM2B_common_region-5892	chr7	93977247	93977504	+	.	NA	exon (NM_022900, exon 1 of 18)	NA	318	NM_001363427	64921		NM_022900	ENSG00000127995	CASD1	C7orf12|Cas1|NBLA04196|SOAT	CAS1 domain containing 1	protein-coding
BCOR_KDM2B_common_region-1994	chr14	96333492	96333561	+	.	NA	promoter-TSS (NM_003384)	NA	54	NM_003384	7443		NM_003384	ENSG00000100749	VRK1	HMNR10|PCH1|PCH1A	VRK serine/threonine kinase 1	protein-coding
BCOR_KDM2B_common_region-6700	chrX	153055358	153055575	+	.	NA	Intergenic	NA	-7445	NM_020061	5956		NM_020061	ENSG00000102076	OPN1LW	CBBM|CBP|COD5|RCP|ROP	opsin 1, long wave sensitive	protein-coding
BCOR_KDM2B_common_region-2734	chr17	23903544	23903697	+	.	NA	TTS (NM_033198)	NA	149	NM_005148	9094		NM_005148	ENSG00000109103	UNC119	CORD24|HRG4|IMD13|POC7|POC7A	unc-119 lipid binding chaperone	protein-coding
BCOR_KDM2B_common_region-1715	chr13	44592574	44592926	+	.	NA	5' UTR (NM_004128, exon 1 of 8)	NA	105	NM_004128	2963		NM_004128	ENSG00000188342	GTF2F2	BTF4|RAP30|TF2F2|TFIIF	general transcription factor IIF subunit 2	protein-coding
BCOR_KDM2B_common_region-4541	chr3	137396425	137397932	+	.	NA	5' UTR (NM_018133, exon 1 of 2)	NA	689	NM_018133	55167		NM_018133	ENSG00000174579	MSL2	MSL-2|MSL2L1|RNF184	MSL complex subunit 2	protein-coding
BCOR_KDM2B_common_region-4420	chr3	53264621	53264751	+	.	NA	intron (NR_047580, intron 1 of 13)	NA	392	NM_001064	7086		NM_001064	ENSG00000163931	TKT	HEL-S-48|HEL107|SDDHD|TK|TKT1	transketolase	protein-coding
BCOR_KDM2B_common_region-177	chr1	32478555	32478835	+	.	NA	non-coding (NR_026850, exon 2 of 7)	NA	1203	NR_026850	339483		NM_178546	ENSG00000291132	MTMR9LP	MTMR9L	myotubularin related protein 9 like, pseudogene	pseudo
BCOR_KDM2B_common_region-4972	chr5	5475106	5475447	+	.	NA	promoter-TSS (NM_015325)	NA	-514	NM_015325	23379		NM_015325	ENSG00000164151	ICE1	KIAA0947	interactor of little elongation complex ELL subunit 1	protein-coding
BCOR_KDM2B_common_region-2559	chr16	84390584	84390942	+	.	NA	promoter-TSS (NM_001318802)	NA	-39	NM_001318794	1327		NM_001861	ENSG00000131143	COX4I1	COX IV-1|COX4|COX4-1|COXIV|COXIV-1|MC4DN16	cytochrome c oxidase subunit 4I1	protein-coding
BCOR_KDM2B_common_region-6651	chrX	117514043	117514297	+	.	NA	intron (NM_144658, intron 1 of 52)	NA	270	NM_144658	139818		NM_144658	ENSG00000147251	DOCK11	ACG|ADMIDX|ZIZ2|bB128O4.1	dedicator of cytokinesis 11	protein-coding
BCOR_KDM2B_common_region-266	chr1	46906436	46906579	+	.	NA	exon (NM_001042546, exon 1 of 7)	NA	179	NM_001042546	64756		NM_022745	ENSG00000123472	ATPAF1	ATP11|ATP11p	ATP synthase mitochondrial F1 complex assembly factor 1	protein-coding
BCOR_KDM2B_common_region-6132	chr8	74820950	74821211	+	.	NA	intron (NM_014393, intron 1 of 11)	NA	549	NM_001164380	27067		NM_014393	ENSG00000040341	STAU2	39K2|39K3	staufen double-stranded RNA binding protein 2	protein-coding
BCOR_KDM2B_common_region-5196	chr5	154114682	154114873	+	.	NA	promoter-TSS (NM_001367718)	NA	-353	NM_001367718	23367		NM_015315	ENSG00000155506	LARP1	LARP|Lar1|Lhp1	La ribonucleoprotein 1, translational regulator	protein-coding
BCOR_KDM2B_common_region-1664	chr13	21075747	21075971	+	.	NA	intron (NM_152726, intron 1 of 11)	NA	450	NM_152726	221154		NM_152726	ENSG00000165487	MICU2	1110008L20Rik|EFHA1	mitochondrial calcium uptake 2	protein-coding
BCOR_KDM2B_common_region-3289	chr19	50837218	50837518	+	.	NA	non-coding (NR_147903, exon 2 of 20)	NA	776	NR_130728	100287177		NM_001242348	ENSG00000267757	EML2-AS1	C19orf83	EML2 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-3061	chr18	58974912	58975043	+	.	NA	intron (NM_000633, intron 2 of 2)	NA	163005	NM_000657	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding
BCOR_KDM2B_common_region-6387	chr9	96528784	96528952	+	.	NA	promoter-TSS (NM_032823)	NA	66	NM_001193331	84909		NM_032823	ENSG00000148120	AOPEP	AP-O|APO|C90RF3|C9orf3|DYT31|ONPEP	aminopeptidase O (putative)	protein-coding
BCOR_KDM2B_common_region-3549	chr2	72997923	72997979	+	.	NA	promoter-TSS (NM_004097)	NA	-205	NM_004097	2016		NM_004097	ENSG00000135638	EMX1	-	empty spiracles homeobox 1	protein-coding
BCOR_KDM2B_common_region-91	chr1	15816497	15817022	+	.	NA	exon (NM_032341, exon 1 of 10)	NA	219	NM_032341	84301		NM_032341	ENSG00000197312	DDI2	-	DNA damage inducible 1 homolog 2	protein-coding
BCOR_KDM2B_common_region-5489	chr6	53331646	53331693	+	.	NA	Intergenic	NA	-9733	NM_001242830	60481		NM_021814	ENSG00000012660	ELOVL5	HELO1|SCA38|dJ483K16.1	ELOVL fatty acid elongase 5	protein-coding
BCOR_KDM2B_common_region-3176	chr19	7506589	7506730	+	.	NA	promoter-TSS (NM_001166114)	NA	56	NM_001166114	10908		NM_006702	ENSG00000032444	PNPLA6	BNHS|LNMS|NTE|NTEMND|OMCS|SPG39|iPLA2delta|sws	patatin like phospholipase domain containing 6	protein-coding
BCOR_KDM2B_common_region-4201	chr22	38042490	38042627	+	.	NA	TTS (NR_000026)	NA	289	NR_000026	116936		NR_000026		SNORD139	RNU86|U82|U86	small nucleolar RNA, C/D box 139	snoRNA
BCOR_KDM2B_common_region-1098	chr11	60476169	60476412	+	.	NA	promoter-TSS (NR_027391)	NA	-66	NR_027391	51296		NM_016582	ENSG00000110446	SLC15A3	OCTP|PHT2|PTR3|hPHT2	solute carrier family 15 member 3	protein-coding
BCOR_KDM2B_common_region-4482	chr3	114716455	114716700	+	.	NA	promoter-TSS (NM_001331079)	NA	116	NM_001331078	152185		NM_144718	ENSG00000163611	SPICE1	CCDC52|SPICE	spindle and centriole associated protein 1	protein-coding
BCOR_KDM2B_common_region-1431	chr12	55767934	55768117	+	.	NA	Intergenic	NA	-1139	NM_005967	4665		NM_005967	ENSG00000166886	NAB2	MADER	NGFI-A binding protein 2	protein-coding
BCOR_KDM2B_common_region-3927	chr20	25625325	25625465	+	.	NA	promoter-TSS (NM_015655)	NA	94	NM_015655	26152		NM_015655	ENSG00000130684	ZNF337	-	zinc finger protein 337	protein-coding
BCOR_KDM2B_common_region-4459	chr3	102877664	102877825	+	.	NA	promoter-TSS (NR_024407)	NA	-220	NR_024407	100009676		NR_024407	ENSG00000256628	ZBTB11-AS1	-	ZBTB11 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-4819	chr4	103641430	103641667	+	.	NA	promoter-TSS (NM_001319226)	NA	0	NM_001165412	4790		NM_003998	ENSG00000109320	NFKB1	CVID12|EBP-1|KBF1|NF-kB|NF-kB1|NF-kappa-B1|NF-kappaB|NF-kappabeta|NFKB-p105|NFKB-p50|NFkappaB	nuclear factor kappa B subunit 1	protein-coding
BCOR_KDM2B_common_region-4503	chr3	123995158	123995342	+	.	NA	5' UTR (NM_024610, exon 1 of 8)	NA	118	NM_024610	79663		NM_024610	ENSG00000169087	HSPBAP1	PASS1	HSPB1 associated protein 1	protein-coding
BCOR_KDM2B_common_region-5698	chr6	166922242	166922421	+	.	NA	intron (NM_001006932, intron 2 of 21)	NA	38398	NM_021135	6196		NM_021135	ENSG00000071242	RPS6KA2	HU-2|MAPKAPK1C|RSK|RSK3|S6K-alpha|S6K-alpha2|p90-RSK3|p90RSK2|pp90RSK3	ribosomal protein S6 kinase A2	protein-coding
BCOR_KDM2B_common_region-3407	chr2	27504672	27505291	+	.	NA	promoter-TSS (NM_001321362)	NA	-21	NM_001321358	29959		NM_013392	ENSG00000115216	NRBP1	BCON3|MADM|MUDPNP|NRBP	nuclear receptor binding protein 1	protein-coding
BCOR_KDM2B_common_region-5690	chr6	163755660	163755807	+	.	NA	promoter-TSS (NR_037593)	NA	-7	NM_206855	9444		NM_006775	ENSG00000112531	QKI	Hqk|QK|QK1|QK3|hqkI	QKI, KH domain containing RNA binding	protein-coding
BCOR_KDM2B_common_region-2897	chr17	71286997	71287466	+	.	NA	intron (NM_005324, intron 1 of 3)	NA	224	NM_005324	3021		NM_005324	ENSG00000132475	H3-3B	BRYLIB2|H3-3A|H3.3B|H3F3B	H3.3 histone B	protein-coding
BCOR_KDM2B_common_region-1896	chr14	63080031	63080377	+	.	NA	promoter-TSS (NR_104104)	NA	-338	NM_001354926	5529		NM_006246	ENSG00000154001	PPP2R5E	B56E|B56epsilon	protein phosphatase 2 regulatory subunit B'epsilon	protein-coding
BCOR_KDM2B_common_region-1580	chr12	120734822	120734963	+	.	NA	intron (NM_001353345, intron 6 of 16)	NA	8594	NM_001353345	23067		NM_015048	ENSG00000139718	SETD1B	IDDSELD|KMT2G|Set1B	SET domain containing 1B, histone lysine methyltransferase	protein-coding
BCOR_KDM2B_common_region-6232	chr8	141726060	141726146	+	.	NA	Intergenic	NA	-11189	NM_001164623	27161		NM_012154	ENSG00000123908	AGO2	CASC7|EIF2C2|LESKRES|LINC00980|PPD|Q10	argonaute RISC catalytic component 2	protein-coding
BCOR_KDM2B_common_region-4232	chr22	44828323	44828498	+	.	NA	promoter-TSS (NR_027034)	NA	20	NR_027034	150381		NR_027034		PRR34-AS1	-	PRR34 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-3545	chr2	70271142	70271503	+	.	NA	promoter-TSS (NR_145971)	NA	25	NR_145971	54980		NM_017880	ENSG00000115998	C2orf42	-	chromosome 2 open reading frame 42	protein-coding
BCOR_KDM2B_common_region-2280	chr15	99366236	99366407	+	.	NA	intron (NM_024652, intron 6 of 33)	NA	89236	NM_024652	79705		NM_024652	ENSG00000154237	LRRK1	OSMD|RIPK6|Roco1	leucine rich repeat kinase 1	protein-coding
BCOR_KDM2B_common_region-3025	chr18	43710487	43710813	+	.	NA	intron (NM_001135937, intron 1 of 9)	NA	378	NM_005901	4087		NM_005901	ENSG00000175387	SMAD2	CHTD8|JV18|JV18-1|LDS6|MADH2|MADR2|hMAD-2|hSMAD2	SMAD family member 2	protein-coding
BCOR_KDM2B_common_region-6693	chrX	149466974	149467106	+	.	NA	Intergenic	NA	-20689	NM_001376906	4534		NM_000252	ENSG00000171100	MTM1	CNM|CNMX|MTMX|XLMTM	myotubularin 1	protein-coding
BCOR_KDM2B_common_region-1544	chr12	118911436	118911688	+	.	NA	promoter-TSS (NM_207311)	NA	139	NM_001367886	92558		NM_207311	ENSG00000135127	BICDL1	BICDR-1|BICDR1|CCDC64|CCDC64A|H_267D11.1	BICD family like cargo adaptor 1	protein-coding
BCOR_KDM2B_common_region-6061	chr8	41872671	41872909	+	.	NA	intron (NM_001142446, intron 1 of 42)	NA	626	NM_001142446	286		NM_000037	ENSG00000029534	ANK1	ANK|SPH1|SPH2|ankyrin-1	ankyrin 1	protein-coding
BCOR_KDM2B_common_region-448	chr1	154313032	154313246	+	.	NA	exon (NM_001093725, exon 2 of 2)	NA	5741	NM_001093725	92312		NM_001093725	ENSG00000254726	MEX3A	MEX-3A|RKHD4|RNF162	mex-3 RNA binding family member A	protein-coding
BCOR_KDM2B_common_region-172	chr1	32002637	32002868	+	.	NA	promoter-TSS (NM_001294336)	NA	-224	NM_001364857	576		NM_001294335	ENSG00000121753	ADGRB2	BAI2	adhesion G protein-coupled receptor B2	protein-coding
BCOR_KDM2B_common_region-3457	chr2	47257443	47257757	+	.	NA	promoter-TSS (NM_001743)	NA	-21	NM_001305625	805		NM_001743	ENSG00000143933	CALM2	CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM	calmodulin 2	protein-coding
BCOR_KDM2B_common_region-1111	chr11	62188855	62189715	+	.	NA	promoter-TSS (NM_001043229)	NA	-21	NR_104414	102288414		NM_001286086	ENSG00000278615	C11orf98	C11orf48	chromosome 11 open reading frame 98	protein-coding
BCOR_KDM2B_common_region-3649	chr2	118288821	118288857	+	.	NA	exon (NM_006773, exon 1 of 14)	NA	102	NM_006773	8886		NM_006773	ENSG00000088205	DDX18	Has1|MrDb	DEAD-box helicase 18	protein-coding
BCOR_KDM2B_common_region-2747	chr17	24531431	24531724	+	.	NA	promoter-TSS (NM_001346766)	NA	-35	NM_001346765	399687		NM_004740	ENSG00000196535	MYO18A	MAJN|MYSPDZ|SP-R210|SPR210|TIAF1	myosin XVIIIA	protein-coding
BCOR_KDM2B_common_region-2236	chr15	81526593	81526836	+	.	NA	promoter-TSS (NR_039740)	NA	294	NM_001011885	53339		NM_025238	ENSG00000064726	BTBD1	C15orf1|NS5ATP8	BTB domain containing 1	protein-coding
BCOR_KDM2B_common_region-5597	chr6	118103960	118104042	+	.	NA	promoter-TSS (NR_110854)	NA	676	NM_138459	116150		NM_138459	ENSG00000153989	NUS1	C6orf68|CDG1AA|MGC:7199|MRD55|NgBR|TANGO14	NUS1 dehydrodolichyl diphosphate synthase subunit	protein-coding
BCOR_KDM2B_common_region-3256	chr19	43089750	43089800	+	.	NA	promoter-TSS (NM_031951)	NA	87	NM_015073	23094		NM_015073	ENSG00000105738	SIPA1L3	CTRCT45|SPAL3|SPAR3	signal induced proliferation associated 1 like 3	protein-coding
BCOR_KDM2B_common_region-5336	chr6	15799706	15799806	+	.	NA	Intergenic	NA	-28488	NM_001271668	84062		NM_032122	ENSG00000047579	DTNBP1	BLOC1S8|DBND|HPS7|My031|SDY	dystrobrevin binding protein 1	protein-coding
BCOR_KDM2B_common_region-2343	chr16	3272717	3272934	+	.	NA	promoter-TSS (NM_005741)	NA	-667	NM_005741	10127		NM_005741	ENSG00000006194	ZNF263	FPM315|ZKSCAN12|ZSCAN44	zinc finger protein 263	protein-coding
BCOR_KDM2B_common_region-632	chr1	232810373	232811926	+	.	NA	exon (NM_182972, exon 1 of 2)	NA	745	NM_182972	359948		NM_182972	ENSG00000168264	IRF2BP2	CVID14	interferon regulatory factor 2 binding protein 2	protein-coding
BCOR_KDM2B_common_region-3853	chr2	233179200	233179355	+	.	NA	intron (NM_001243252, intron 1 of 3)	NA	266	NM_001243252	80303		NM_025202	ENSG00000115468	EFHD1	MST133|MSTP133|PP3051|SWS2	EF-hand domain family member D1	protein-coding
