PeakID (cmd=annotatePeaks.pl results/tmp/normalized_peaks/BCOR_LY1_hg18.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_peak_564	chr9	94095932	94096116	+	.	NA	promoter-TSS (NM_002161)	NA	-224	NM_001378577	3376		NM_002161	ENSG00000196305	IARS1	GRIDHH|IARS|ILERS|ILRS|IRS|PRO0785	isoleucyl-tRNA synthetase 1	protein-coding
BCOR_peak_2417	chr7	101286480	101287117	+	.	NA	intron (NM_181552, intron 1 of 23)	NA	39172	NM_181552	1523		NM_001913	ENSG00000257923	CUX1	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GDDI|GOLIM6|Nbla10317|p100|p110|p200|p75	cut like homeobox 1	protein-coding
BCOR_peak_11276	chr16	66464330	66464581	+	.	NA	promoter-TSS (NM_014329)	NA	-1	NM_014329	23644		NM_014329	ENSG00000038358	EDC4	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	enhancer of mRNA decapping 4	protein-coding
BCOR_peak_12856	chr13	29626836	29627055	+	.	NA	Intergenic	NA	-1734	NR_138041	102157400		NR_138041		LINC00384	-	long intergenic non-protein coding RNA 384	ncRNA
BCOR_peak_8082	chr2	86116734	86116910	+	.	NA	intron (NM_015425, intron 27 of 33)	NA	69698	NM_015425	25885		NM_015425	ENSG00000068654	POLR1A	A190|AFDCIN|HLD27|RPA1|RPA190|RPA194|RPO1-4|RPO14	RNA polymerase I subunit A	protein-coding
BCOR_peak_14575	chr11	47998216	47998482	+	.	NA	intron (NM_002843, intron 1 of 24)	NA	39662	NM_001098503	5795		NM_002843	ENSG00000149177	PTPRJ	CD148|DEP1|HPTP eta|HPTPeta|R-PTP-ETA|R-PTP-J|SCC1|THC10	protein tyrosine phosphatase receptor type J	protein-coding
BCOR_peak_16142	chr1	11646727	11647002	+	.	NA	promoter-TSS (NM_018438)	NA	20	NM_018438	26270		NM_018438	ENSG00000116663	FBXO6	FBG2|FBS2|FBX6|Fbx6b	F-box protein 6	protein-coding
BCOR_peak_14106	chr12	122416098	122416406	+	.	NA	promoter-TSS (NR_107039)	NA	804	NR_157805	112268105		NR_157805	ENSG00000256092	SBNO1-AS1	-	SBNO1 antisense RNA 1	ncRNA
BCOR_peak_14563	chr11	47841309	47841517	+	.	NA	Intergenic	NA	-14741	NM_001318399	23279		NM_015231	ENSG00000030066	NUP160	NPHS19	nucleoporin 160	protein-coding
BCOR_peak_4442	chr5	133551133	133551460	+	.	NA	Intergenic	NA	-10673	NM_006930	6500		NM_006930	ENSG00000113558	SKP1	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	S-phase kinase associated protein 1	protein-coding
BCOR_peak_2120	chr7	47678289	47678594	+	.	NA	Intergenic	NA	17074	NM_001123065	401335		NM_001123065	ENSG00000221845	LINC02902	C7orf65	long intergenic non-protein coding RNA 2902	ncRNA
BCOR_peak_15513	chr10	35455837	35456720	+	.	NA	promoter-TSS (NM_183060)	NA	-113	NM_183060	1390		NM_001881	ENSG00000095794	CREM	CREM-2|ICER|hCREM-2	cAMP responsive element modulator	protein-coding
BCOR_peak_6616	chr22	32451545	32451738	+	.	NA	non-coding (NR_038950, exon 2 of 7)	NA	669	NR_038949	100506195		NR_038949	ENSG00000224973	LARGE-AS1	-	LARGE antisense RNA 1	ncRNA
BCOR_peak_14110	chr12	122582732	122582878	+	.	NA	intron (NM_001319243, intron 1 of 7)	NA	1414	NM_001319243	353116		NM_178314	ENSG00000188026	RILPL1	GOSPEL|OPDM4|RLP1	Rab interacting lysosomal protein like 1	protein-coding
BCOR_peak_16767	chr1	89870795	89871093	+	.	NA	promoter-TSS (NM_032270)	NA	97	NR_033981	400761		NR_033981	ENSG00000231999	LRRC8C-DT	-	LRRC8C divergent transcript	ncRNA
BCOR_peak_15160	chr11	95557985	95558524	+	.	NA	intron (NM_032427, intron 1 of 4)	NA	-155996	NR_036125	100422991		NR_036125	ENSG00000266192	MIR1260B	mir-1260b	microRNA 1260b	ncRNA
BCOR_peak_15032	chr11	72132710	72132947	+	.	NA	intron (NM_001040118, intron 1 of 34)	NA	8254	NM_001040118	116985		NM_015242	ENSG00000186635	ARAP1	CENTD2|cnt-d2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	protein-coding
BCOR_peak_42	chrX	21301755	21301884	+	.	NA	promoter-TSS (NM_001330773)	NA	-638	NM_001330770	22866		NM_014927	ENSG00000149970	CNKSR2	CNK2|KSR2|MAGUIN|MRXSHG	connector enhancer of kinase suppressor of Ras 2	protein-coding
BCOR_peak_14198	chr12	132217260	132217461	+	.	NA	promoter-TSS (NM_001277291)	NA	74	NM_015394	7556		NM_015394	ENSG00000256223	ZNF10	KOX1	zinc finger protein 10	protein-coding
BCOR_peak_8180	chr2	106176278	106177168	+	.	NA	intron (NR_165308, intron 1 of 14)	NA	466	NM_001377504	80146		NM_025076	ENSG00000115652	UXS1	SDR6E1|UGD|hUXS|hUXS1	UDP-glucuronate decarboxylase 1	protein-coding
BCOR_peak_15353	chr10	6133113	6133320	+	.	NA	intron (NM_001308242, intron 1 of 6)	NA	11120	NM_001308243	3559		NM_000417	ENSG00000134460	IL2RA	CD25|IDDM10|IL2R|IMD41|TCGFR|p55	interleukin 2 receptor subunit alpha	protein-coding
BCOR_peak_9271	chr19	43447036	43447434	+	.	NA	5' UTR (NM_021102, exon 1 of 7)	NA	182	NM_021102	10653		NM_021102	ENSG00000167642	SPINT2	DIAR3|HAI-2|HAI2|Kop|PB	serine peptidase inhibitor, Kunitz type 2	protein-coding
BCOR_peak_12495	chr14	76348408	76349121	+	.	NA	intron (NM_015305, intron 1 of 9)	NA	214	NM_001370748	23357		NM_015305	ENSG00000013523	ANGEL1	Ccr4e|KIAA0759	angel homolog 1	protein-coding
BCOR_peak_8611	chr2	217795475	217795870	+	.	NA	Intergenic	NA	-60029	NR_133642	105373877		NR_133642		DIRC3-AS1	-	DIRC3 antisense RNA 1	ncRNA
BCOR_peak_6067	chr3	151013704	151013921	+	.	NA	non-coding (NR_165474, exon 1 of 11)	NA	120	NM_001378289	11342		NM_007282	ENSG00000082996	RNF13	DEE73|EIEE73|RZF	ring finger protein 13	protein-coding
BCOR_peak_14228	chr11	551049	551539	+	.	NA	promoter-TSS (NM_173573)	NA	324	NM_003475	8045		NM_003475	ENSG00000099849	RASSF7	C11orf13|CFAP88|FAP88|HRAS1|HRC1	Ras association domain family member 7	protein-coding
BCOR_peak_10262	chr17	34564099	34564326	+	.	NA	Intergenic	NA	-2796	NM_020405	57125		NM_020405	ENSG00000161381	PLXDC1	TEM3|TEM7	plexin domain containing 1	protein-coding
BCOR_peak_12682	chr14	104198164	104198357	+	.	NA	TTS (NR_135293)	NA	4680	NR_135293	101929634		NR_135293	ENSG00000260792	LINC02280	-	long intergenic non-protein coding RNA 2280	ncRNA
BCOR_peak_8569	chr2	202811679	202811789	+	.	NA	promoter-TSS (NM_001371392)	NA	-169	NM_001371394	7341		NM_003352	ENSG00000116030	SUMO1	DAP1|GMP1|OFC10|PIC1|SENP2|SMT3|SMT3C|SMT3H3|UBL1	small ubiquitin like modifier 1	protein-coding
BCOR_peak_4400	chr5	127447929	127448133	+	.	NA	non-coding (NR_046207, exon 1 of 27)	NA	674	NM_001046	6558		NM_001046	ENSG00000064651	SLC12A2	BSC|BSC-2|BSC2|CCC1|KILQS|NKCC1|PPP1R141	solute carrier family 12 member 2	protein-coding
BCOR_peak_6024	chr3	139779531	139780112	+	.	NA	intron (NM_001320598, intron 2 of 17)	NA	13667	NM_001320600	80321		NM_024491	ENSG00000114107	CEP70	BITE	centrosomal protein 70	protein-coding
BCOR_peak_16668	chr1	61320732	61321009	+	.	NA	promoter-TSS (NM_001134673)	NA	49	NM_005595	4774		NM_005595	ENSG00000162599	NFIA	BRMUTD|C1DELp32p31|CTF|DEL1P32P31|NF-I/A|NF1-A|NFI-A|NFI-L	nuclear factor I A	protein-coding
BCOR_peak_185	chrX	118890024	118890155	+	.	NA	promoter-TSS (NM_006978)	NA	266	NM_004541	4694		NM_004541	ENSG00000125356	NDUFA1	CI-MWFE|MC1DN12|MWFE|ZNF183	NADH:ubiquinone oxidoreductase subunit A1	protein-coding
BCOR_peak_13481	chr12	14818315	14819441	+	.	NA	non-coding (NR_027716, exon 1 of 2)	NA	272	NM_177925	55766		NM_018267	ENSG00000246705	H2AJ	H2AFJ	H2A.J histone	protein-coding
BCOR_peak_10595	chr17	71584128	71585103	+	.	NA	exon (NM_003857, exon 2 of 2)	NA	2158	NM_003857	8811		NM_003857	ENSG00000182687	GALR2	GAL2-R|GALNR2|GALR-2	galanin receptor 2	protein-coding
BCOR_peak_2949	chr6	3263451	3263718	+	.	NA	intron (NM_001382317, intron 4 of 8)	NA	5799	NM_001382318	63027		NM_015482	ENSG00000137266	SLC22A23	C6orf85	solute carrier family 22 member 23	protein-coding
BCOR_peak_6469	chr3	198882914	198883074	+	.	NA	3' UTR (NM_001145642, exon 21 of 21)	NA	2850	NR_030627	100126321		NR_030627	ENSG00000284146	MIR922	MIRN922|hsa-mir-922	microRNA 922	ncRNA
BCOR_peak_4658	chr5	170778300	170779416	+	.	NA	promoter-TSS (NM_003862)	NA	-398	NM_003862	8817		NM_003862	ENSG00000156427	FGF18	FGF-18|ZFGF5	fibroblast growth factor 18	protein-coding
BCOR_peak_7991	chr2	70261854	70262559	+	.	NA	non-coding (NR_145969, exon 3 of 9)	NA	9141	NM_001348758	54980		NM_017880	ENSG00000115998	C2orf42	-	chromosome 2 open reading frame 42	protein-coding
BCOR_peak_14804	chr11	64946628	64947102	+	.	NA	promoter-TSS (NR_028272)	NA	20	NR_028272	283131		NR_002802	ENSG00000245532	NEAT1	LINC00084|NCRNA00084|TP53LC15|TncRNA|VINC	nuclear paraspeckle assembly transcript 1	ncRNA
BCOR_peak_3333	chr6	43319169	43319270	+	.	NA	promoter-TSS (NM_032538)	NA	22	NM_032538	84630		NM_032538	ENSG00000146216	TTBK1	BDTK	tau tubulin kinase 1	protein-coding
BCOR_peak_5191	chr4	129021201	129021459	+	.	NA	promoter-TSS (NM_001190799)	NA	-168	NM_014264	10733		NM_014264	ENSG00000142731	PLK4	MCCRP2|SAK|STK18	polo like kinase 4	protein-coding
BCOR_peak_4630	chr5	158457107	158457275	+	.	NA	5' UTR (NM_001364158, exon 1 of 16)	NA	351	NM_001364159	1879		NM_024007	ENSG00000164330	EBF1	COE1|EBF|O/E-1|OLF1	EBF transcription factor 1	protein-coding
BCOR_peak_10178	chr17	24296577	24296728	+	.	NA	TTS (NR_110803)	NA	6010	NM_001290131	57649		NM_020889	ENSG00000109118	PHF12	PF1	PHD finger protein 12	protein-coding
BCOR_peak_12207	chr14	23633340	23633810	+	.	NA	5' UTR (NM_001308054, exon 1 of 10)	NA	215	NM_001018073	5106		NM_004563	ENSG00000100889	PCK2	PEPCK|PEPCK-M|PEPCK2|mtPCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	protein-coding
BCOR_peak_9759	chr18	66107932	66108050	+	.	NA	intron (NM_004232, intron 1 of 1)	NA	730	NM_004232	9306		NM_004232	ENSG00000170677	SOCS6	CIS-4|CIS4|HSPC060|SOCS-4|SOCS-6|SOCS4|SSI4|STAI4|STATI4	suppressor of cytokine signaling 6	protein-coding
BCOR_peak_7425	chr20	60753950	60754164	+	.	NA	intron (NM_016354, intron 1 of 11)	NA	9757	NM_016354	28231		NM_016354	ENSG00000101187	SLCO4A1	OATP-E|OATP1|OATP4A1|OATPE|OATPRP1|POAT|SLC21A12	solute carrier organic anion transporter family member 4A1	protein-coding
BCOR_peak_2870	chr7	156624779	156625132	+	.	NA	intron (NM_014671, intron 1 of 22)	NA	574	NM_014671	9690		NM_014671	ENSG00000009335	UBE3C	HECTH2|NDSMBA|NEDSMBA|RAUL	ubiquitin protein ligase E3C	protein-coding
BCOR_peak_12154	chr15	99366088	99366407	+	.	NA	intron (NM_024652, intron 6 of 33)	NA	89162	NM_024652	79705		NM_024652	ENSG00000154237	LRRK1	OSMD|RIPK6|Roco1	leucine rich repeat kinase 1	protein-coding
BCOR_peak_8794	chr2	239853532	239854412	+	.	NA	intron (NM_001378414, intron 2 of 26)	NA	-38122	NR_036229	100423043		NR_036229	ENSG00000265215	MIR4269	-	microRNA 4269	ncRNA
BCOR_peak_11646	chr15	38886897	38887201	+	.	NA	promoter-TSS (NM_018163)	NA	-86	NM_018163	55192		NM_018163	ENSG00000104129	DNAJC17	-	DnaJ heat shock protein family (Hsp40) member C17	protein-coding
BCOR_peak_4360	chr5	112340322	112340793	+	.	NA	exon (NM_152624, exon 1 of 11)	NA	163	NM_001242377	167227		NM_152624	ENSG00000172795	DCP2	NUDT20	decapping mRNA 2	protein-coding
BCOR_peak_3663	chr6	135543398	135543519	+	.	NA	promoter-TSS (NR_134965)	NA	-681	NM_001161660	4602		NM_005375	ENSG00000118513	MYB	Cmyb|c-myb|c-myb_CDS|efg	MYB proto-oncogene, transcription factor	protein-coding
BCOR_peak_16905	chr1	143807648	143807824	+	.	NA	promoter-TSS (NM_004892)	NA	-29	NM_004892	9554		NM_004892	ENSG00000265808	SEC22B	ERS-24|SEC22L1	SEC22 homolog B, vesicle trafficking protein	protein-coding
BCOR_peak_2575	chr7	128166875	128167240	+	.	NA	intron (NR_074086, intron 1 of 4)	NA	408	NM_001130674	813		NM_001219	ENSG00000128595	CALU	-	calumenin	protein-coding
BCOR_peak_1720	chr8	145696921	145697093	+	.	NA	intron (NM_001329442, intron 10 of 12)	NA	-2252	NM_001382664	2875		NM_005309	ENSG00000167701	GPT	AAT1|ALT|ALT1|GPT1|SGPT	glutamic--pyruvic transaminase	protein-coding
BCOR_peak_12781	chr13	19335081	19335220	+	.	NA	intron (NM_001142684, intron 1 of 7)	NA	626	NM_001039649	9205		NM_014242	ENSG00000132950	ZMYM5	HSPC050|MYM|ZNF198L1|ZNF237	zinc finger MYM-type containing 5	protein-coding
BCOR_peak_3389	chr6	52257116	52257634	+	.	NA	exon (NM_001366370, exon 1 of 17)	NA	124	NM_001366374	4172		NM_002388	ENSG00000112118	MCM3	HCC5|P1-MCM3|P1.h|RLFB	minichromosome maintenance complex component 3	protein-coding
BCOR_peak_13368	chr12	4300072	4301100	+	.	NA	promoter-TSS (NM_020375)	NA	-54	NM_020375	57103		NM_020375	ENSG00000078237	TIGAR	C12orf5|FR2BP	TP53 induced glycolysis regulatory phosphatase	protein-coding
BCOR_peak_4964	chr4	57469269	57469454	+	.	NA	promoter-TSS (NM_001363453)	NA	-304	NM_001363453	5978		NM_005612	ENSG00000084093	REST	DFNA27|GINGF5|HGF5|NRSF|WT6|XBR	RE1 silencing transcription factor	protein-coding
BCOR_peak_2019	chr7	35807185	35808156	+	.	NA	promoter-TSS (NR_120512)	NA	316	NM_001375299	989		NM_001788	ENSG00000122545	SEPTIN7	CDC10|CDC3|NBLA02942|SEPT7|SEPT7A|Septin-7	septin 7	protein-coding
BCOR_peak_17479	chr1	233147479	233147615	+	.	NA	Intergenic	NA	18822	NR_125945	101927851		NR_125945	ENSG00000238005	LNCATV	-	lncRNA negative regulator of antiviral signaling	ncRNA
BCOR_peak_6309	chr3	188950579	188951508	+	.	NA	Intergenic	NA	-5093	NM_001706	604		NM_001706	ENSG00000113916	BCL6	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	BCL6 transcription repressor	protein-coding
BCOR_peak_14081	chr12	121254254	121255151	+	.	NA	TTS (NM_152759)	NA	493	NM_030765	79369		NM_030765	ENSG00000176383	B3GNT4	B3GN-T4|beta3Gn-T4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	protein-coding
BCOR_peak_11446	chr16	85974595	85974868	+	.	NA	exon (NM_024735, exon 1 of 9)	NA	152	NM_024735	79791		NM_024735	ENSG00000103264	FBXO31	FBX14|FBXO14|Fbx31|MRT45|pp2386	F-box protein 31	protein-coding
BCOR_peak_8975	chr19	4982336	4982482	+	.	NA	intron (NM_001370093, intron 2 of 11)	NA	62285	NM_015015	23030		NM_015015	ENSG00000127663	KDM4B	JMJD2B|MRD65|TDRD14B	lysine demethylase 4B	protein-coding
BCOR_peak_13126	chr13	98854592	98854697	+	.	NA	Intergenic	NA	48258	NR_030353	693208		NR_030353	ENSG00000207719	MIR623	MIRN623|hsa-mir-623	microRNA 623	ncRNA
BCOR_peak_3643	chr6	130130145	130130473	+	.	NA	Intergenic	NA	-57294	NM_033515	93663		NM_033515	ENSG00000146376	ARHGAP18	MacGAP|SENEX|bA307O14.2	Rho GTPase activating protein 18	protein-coding
BCOR_peak_4340	chr5	107034460	107036214	+	.	NA	promoter-TSS (NM_001962)	NA	-800	NM_001962	1946		NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
BCOR_peak_4944	chr4	54794155	54795412	+	.	NA	promoter-TSS (NM_001347830)	NA	-101	NM_001347830	5156		NM_006206	ENSG00000134853	PDGFRA	CD140A|PDGFR-2|PDGFR2	platelet derived growth factor receptor alpha	protein-coding
BCOR_peak_13782	chr12	56445206	56445773	+	.	NA	exon (NM_000785, exon 3 of 9)	NA	1639	NM_000785	1594		NM_000785	ENSG00000111012	CYP27B1	CP2B|CYP1|CYP1alpha|CYP27B|P450c1|PDDR|VDD1|VDDR|VDDRI|VDR	cytochrome P450 family 27 subfamily B member 1	protein-coding
BCOR_peak_16501	chr1	40496378	40496496	+	.	NA	promoter-TSS (NM_005857)	NA	-58	NM_005857	10269		NM_005857	ENSG00000084073	ZMPSTE24	FACE-1|FACE1|HGPS|PRO1|RSDM1|STE24|Ste24p	zinc metallopeptidase STE24	protein-coding
BCOR_peak_6107	chr3	159295035	159295310	+	.	NA	Intergenic	NA	11474	NM_006884	6474		NM_003030	ENSG00000168779	SHOX2	OG12|OG12X|SHOT	SHOX homeobox 2	protein-coding
BCOR_peak_16381	chr1	31006206	31006468	+	.	NA	Intergenic	NA	-3129	NM_006762	7805		NM_006762	ENSG00000162511	LAPTM5	CLAST6	lysosomal protein transmembrane 5	protein-coding
BCOR_peak_3187	chr6	33668814	33669332	+	.	NA	promoter-TSS (NR_027908)	NA	20	NR_027908	401253		NM_207497	ENSG00000197251	LINC00336	C6orf227|NCRNA00336	long intergenic non-protein coding RNA 336	ncRNA
BCOR_peak_3225	chr6	35571980	35572314	+	.	NA	intron (NM_003214, intron 1 of 12)	NA	687	NM_003214	7005		NM_003214	ENSG00000007866	TEAD3	DTEF-1|ETFR-1|TEAD-3|TEAD5|TEF-5|TEF5	TEA domain transcription factor 3	protein-coding
BCOR_peak_4014	chr5	1705882	1706795	+	.	NA	Intergenic	NA	-19218	NR_003713	728613		NR_003713		PDCD6P1	-	PDCD6 pseudogene 1	pseudo
BCOR_peak_9023	chr19	10068062	10068408	+	.	NA	exon (NM_001321411, exon 2 of 6)	NA	6098	NM_001321411	83854		NM_031917	ENSG00000130812	ANGPTL6	AGF|ARP5	angiopoietin like 6	protein-coding
BCOR_peak_16468	chr1	37930332	37930701	+	.	NA	promoter-TSS (NM_001350762)	NA	-15	NM_001350757	54955		NM_017850	ENSG00000116922	AIRIM	C1orf109	AFG2 interacting ribosome maturation factor	protein-coding
BCOR_peak_13681	chr12	51899783	51900278	+	.	NA	exon (NM_001042728, exon 1 of 8)	NA	383	NM_001042728	5916		NM_000966	ENSG00000172819	RARG	NR1B3|RARC|RARgamma	retinoic acid receptor gamma	protein-coding
BCOR_peak_2969	chr6	5952432	5953341	+	.	NA	promoter-TSS (NM_001278710)	NA	-49	NM_001278710	51299		NM_016588	ENSG00000124785	NRN1	NRN|dJ380B8.2	neuritin 1	protein-coding
BCOR_peak_12482	chr14	74814615	74816342	+	.	NA	exon (NM_005252, exon 1 of 4)	NA	194	NM_005252	2353		NM_005252	ENSG00000170345	FOS	AP-1|C-FOS|p55	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding
BCOR_peak_1693	chr8	145350848	145350978	+	.	NA	intron (NM_001288814, intron 13 of 41)	NA	38715	NR_107057	102465906		NR_107057	ENSG00000284054	MIR7112	MIR7112-1|MIR7112-2|hsa-mir-7112|hsa-mir-7112-1|hsa-mir-7112-2	microRNA 7112	ncRNA
BCOR_peak_8549	chr2	201082727	201083215	+	.	NA	promoter-TSS (NM_152387)	NA	65	NM_001321547	130535		NM_152387	ENSG00000155729	KCTD18	6530404F10Rik	potassium channel tetramerization domain containing 18	protein-coding
BCOR_peak_1088	chr8	38152486	38153150	+	.	NA	promoter-TSS (NM_001204878)	NA	350	NM_014462	27257		NM_014462	ENSG00000175324	LSM1	CASM|YJL124C	LSM1 homolog, mRNA degradation associated	protein-coding
BCOR_peak_6257	chr3	185563091	185563354	+	.	NA	promoter-TSS (NM_001278715)	NA	-243	NM_001278714	5437		NM_006232	ENSG00000163882	POLR2H	RPABC3|RPB17|RPB8	RNA polymerase II, I and III subunit H	protein-coding
BCOR_peak_15984	chr10	135053064	135053187	+	.	NA	non-coding (NR_109765, exon 4 of 5)	NA	-4526	NM_138384	92170		NM_138384	ENSG00000148824	MTG1	GTP|GTPBP7	mitochondrial ribosome associated GTPase 1	protein-coding
BCOR_peak_14283	chr11	1832366	1832571	+	.	NA	intron (NM_002339, intron 1 of 10)	NA	1578	NM_002339	4046		NM_002339	ENSG00000130592	LSP1	WP34|pp52	lymphocyte specific protein 1	protein-coding
BCOR_peak_17235	chr1	190752641	190752839	+	.	NA	Intergenic	NA	-58786	NM_002922	5996		NM_002922	ENSG00000090104	RGS1	1R20|BL34|HEL-S-87|IER1|IR20	regulator of G protein signaling 1	protein-coding
BCOR_peak_4270	chr5	77627271	77627519	+	.	NA	Intergenic	NA	-1117	NM_003664	8546		NM_003664	ENSG00000132842	AP3B1	ADTB3|ADTB3A|HPS|HPS2|PE	adaptor related protein complex 3 subunit beta 1	protein-coding
BCOR_peak_10991	chr16	10778785	10778988	+	.	NA	intron (NM_001318873, intron 2 of 7)	NA	33659	NM_001323597	4682		NM_002484	ENSG00000103274	NUBP1	CIAO5|NBP|NBP1|NBP35	NUBP iron-sulfur cluster assembly factor 1, cytosolic	protein-coding
BCOR_peak_6449	chr3	198180243	198181469	+	.	NA	promoter-TSS (NM_025163)	NA	-755	NM_025163	80235		NM_025163	ENSG00000119227	PIGZ	GPI-MT-IV|PIG-Z|SMP3	phosphatidylinositol glycan anchor biosynthesis class Z	protein-coding
BCOR_peak_13943	chr12	107729600	107729702	+	.	NA	intron (NM_001161330, intron 5 of 13)	NA	15805	NM_001161331	54434		NM_018984	ENSG00000084112	SSH1	SSH1L	slingshot protein phosphatase 1	protein-coding
BCOR_peak_2136	chr7	50485333	50485494	+	.	NA	intron (NM_001042762, intron 1 of 3)	NA	129	NM_001287496	63979		NM_022116	ENSG00000132436	FIGNL1	-	fidgetin like 1	protein-coding
BCOR_peak_4626	chr5	158412195	158412484	+	.	NA	intron (NM_182708, intron 5 of 14)	NA	45203	NM_001364159	1879		NM_024007	ENSG00000164330	EBF1	COE1|EBF|O/E-1|OLF1	EBF transcription factor 1	protein-coding
BCOR_peak_11519	chr16	87709147	87709399	+	.	NA	intron (NM_001284316, intron 4 of 8)	NA	-21184	NR_045667	197322		NM_174917	ENSG00000176715	ACSF3	-	acyl-CoA synthetase family member 3	protein-coding
BCOR_peak_533	chr9	83632752	83632960	+	.	NA	Intergenic	NA	-85316	NR_026851	347127		NM_198509	ENSG00000291172	SPATA31D5P	FAM75D5|FAM75D5P	SPATA31 subfamily D member 5, pseudogene	pseudo
BCOR_peak_12367	chr14	63264617	63264853	+	.	NA	promoter-TSS (NM_030791)	NA	-199	NM_030791	81537		NM_030791	ENSG00000126821	SGPP1	SPP-1|SPPase1	sphingosine-1-phosphate phosphatase 1	protein-coding
BCOR_peak_6198	chr3	180763426	180763672	+	.	NA	5' UTR (NM_178042, exon 1 of 14)	NA	141	NM_004301	86		NM_004301	ENSG00000136518	ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1	actin like 6A	protein-coding
BCOR_peak_9655	chr18	44319813	44320630	+	.	NA	intron (NM_001142397, intron 2 of 12)	NA	821	NM_014772	9811		NM_014772	ENSG00000134030	CTIF	Gm672|KIAA0427	cap binding complex dependent translation initiation factor	protein-coding
BCOR_peak_9401	chr19	53831898	53832633	+	.	NA	promoter-TSS (NR_004401)	NA	183	NM_001352	1628		NM_001352	ENSG00000105516	DBP	DABP|taxREB302	D-box binding PAR bZIP transcription factor	protein-coding
BCOR_peak_10046	chr17	7730193	7730334	+	.	NA	promoter-TSS (NM_001330111)	NA	-800	NM_001330111	84316		NM_032356	ENSG00000183011	NAA38	LSMD1|MAK31|PFAAP2	N-alpha-acetyltransferase 38, NatC auxiliary subunit	protein-coding
BCOR_peak_4462	chr5	134395553	134395707	+	.	NA	intron (NM_002653, intron 1 of 2)	NA	-1233	NR_161235	100996485		NR_161235	ENSG00000224186	PITX1-AS1	C5orf66	PITX1 antisense RNA 1	ncRNA
BCOR_peak_9506	chr18	9127562	9128013	+	.	NA	5' UTR (NM_001204056, exon 1 of 12)	NA	226	NM_001204056	23253		NM_015208	ENSG00000101745	ANKRD12	ANCO-2|ANCO1|GAC-1|Nbla00144	ankyrin repeat domain 12	protein-coding
BCOR_peak_142	chrX	70205003	70205170	+	.	NA	promoter-TSS (NM_013346)	NA	-63	NM_001256186	29934		NM_013346	ENSG00000147164	SNX12	-	sorting nexin 12	protein-coding
BCOR_peak_7831	chr2	47449883	47450722	+	.	NA	intron (NM_002354, intron 1 of 8)	NA	348	NM_002354	4072		NM_002354	ENSG00000119888	EPCAM	Ber-Ep4|BerEp4|DIAR5|EGP-2|EGP314|EGP40|ESA|HNPCC8|KS1/4|KSA|LYNCH8|M4S1|MIC18|MK-1|MOC-31|TACSTD1|TROP1	epithelial cell adhesion molecule	protein-coding
BCOR_peak_5732	chr3	52714567	52714894	+	.	NA	promoter-TSS (NM_014041)	NA	409	NM_018446	55830		NM_018446	ENSG00000016864	GLT8D1	AD-017|MSTP139	glycosyltransferase 8 domain containing 1	protein-coding
BCOR_peak_7550	chr2	8894769	8895201	+	.	NA	intron (NM_001348729, intron 1 of 29)	NA	209	NM_001348729	57498		NM_020738	ENSG00000134313	KIDINS220	ARMS|SINO|VENARG	kinase D interacting substrate 220	protein-coding
BCOR_peak_10582	chr17	71363081	71363852	+	.	NA	promoter-TSS (NM_012478)	NA	-455	NM_012478	23558		NM_012478	ENSG00000132471	WBP2	DFNB107|GRAMD6|WBP-2	WW domain binding protein 2	protein-coding
BCOR_peak_11359	chr16	80024401	80024570	+	.	NA	Intergenic	NA	-11791	NM_198390	80790		NM_030629	ENSG00000153815	CMIP	TCMIP	c-Maf inducing protein	protein-coding
BCOR_peak_6047	chr3	142998658	142999049	+	.	NA	intron (NM_139209, intron 4 of 5)	NA	33913	NM_139209	131890		NM_139209	ENSG00000114124	GRK7	GPRK7	G protein-coupled receptor kinase 7	protein-coding
BCOR_peak_9631	chr18	31806125	31806380	+	.	NA	promoter-TSS (NM_001201476)	NA	-334	NM_001201476	83608		NM_031446	ENSG00000141428	C18orf21	HsT3108|PNAS-124|PNAS-131|XTP13	chromosome 18 open reading frame 21	protein-coding
